Share Price (p),Avg Vol,EPS(Current),P/E,MktCap,Dividend,Yield,Alpha,Beta,Employees,EPS(2016),EPS(2017),Net Revenue(2016),Net Revenue(2017),Net Profit(2016),Net Profit(2017),predictsharepriceback,backward,forward
51,1382,6003337,31.5,43.65,14.741,37.47,2.72,0.0023,1.24,29170,31.5,54.6,5662,5629,434,751,1186.55484,1175.967175
52,180.75,24078563,3.29,54.79,2.948,8.18,4.54,0.0086,1.75,37300,3.29,6.67,6328,5788,53,106,114.3643183,150.5263691
53,1548,11794864,68.4,22.95,45.702,43.7,2.78,-3.00E-04,1.16,111800,68.4,67.6,14581,16815,2769,2648,1357.919257,1408.849074
54,287.75,8920167,16.5,17.52,3.043,9.66,3.34,0.0058,0.01,89745,24.4,21.4,8151,8560,248.2,217.2,309.03273,242.9155981
55,179.75,11277434,6.99,25.29,2.299,1.5,0.85,0.0044,1.06,5637,6.99,6.59,484,551.7,89,83.7,390.331706,369.4509561
56,276,12785030,23.7,11.77,5.37,15.58,5.58,-0.001,0.66,174500,19.1,14.5,17244,17162,364,276,195.0825576,184.4435061
57,747,1278473,8.8,84.86,1.688,18.5,2.48,0.0043,1.66,2641,8.8,-7,509,472.6,26.1,-20.6,672.0254923,684.9349768
58,350,6154246,16.9,20.72,3.316,30.18,8.62,-0.0074,0.7,49645,30.4,-55.3,4325,4118.2,196.5,-353,229.0521164,204.4340401
59,615,3747228,52,11.89,5.28,35,5.66,-0.001,0.34,9474,50.3,50.2,3586,4006,432,430,742.8261621,724.449293
60,346,11661403,26.17,13.21,6.427,28.71,8.3,-9.00E-04,0.48,13825,-53.71,16.8,6349,6314,-987,307.5,227.3965766,205.9748214
61,702.5,2184230,28.9,24.12,2.425,45.9,6.59,3.00E-04,0.15,14647,45.9,56.5,1681.6,1794.3,157.3,193.8,938.0377196,856.7244257
62,371.5,37763103,25.8,14.35,35.915,15.25,4.12,-0.0016,0.79,111000,25.9,30.7,2551.4,1408.6,1404,2547.3,370.7205074,382.9306444
63,455.5,10206353,14.13,32.29,4.236,4.8,1.05,0.0024,0.37,7506,12.11,14.07,1081.7,1109.9,112.1,129.6,459.7736561,408.5398883
64,690,2675576,20,34.45,3.866,26,3.77,-0.0012,0.77,31410,34.4,-37.3,4958,3223.5,191.3,-206,723.9181874,685.7170771
65,235.25,34668808,13.54,17.52,17.026,6.2,2.61,0.0021,0.71,270800,12.33,10.87,20988,23653,830,722,302.1947609,283.3408048
66,269.25,5841406,12.1,22.4,2.083,3.4,1.25,0.0033,1.17,39596,12.1,19.9,4105,2097.2,117.8,66.9,394.1965964,386.7641713
67,467.5,3234205,43.23,10.83,2.603,41.16,8.79,-0.0059,0.48,13802,47.9,77.3,1698,1791,265,420.3,522.9246685,506.7711076
68,743.5,2113211,51.77,14.43,2.205,19.87,2.66,0.0074,0.58,55315,-15.91,39.93,2594.6,2014.3,-52.6,197.7,688.5593291,689.8124819
69,720.25,3218725,51.53,14.1,4.226,21.2,2.92,0.0056,1.05,39299,49.96,32.17,7195,7967.6,288.2,185.1,693.8006155,723.0605335
70,562,12284355,7.9,68.8,6.503,5.4,0.99,0.0033,1.56,50417,7.9,24.6,20887,18028.7,88,271.2,484.6177148,503.2351943
